"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"1","","","","C","","01:00:00:00","01:00:00:01","01:00:00:00","01:00:00:01","","","","","","","0.000","","Blue","Intro","",""
"2","","","","C","","01:00:04:08","01:00:04:09","01:00:04:08","01:00:04:09","","","","","","","0.000","","Red","zoom f6 b-roll","",""
"3","","","","C","","01:18:21:01","01:18:21:02","01:18:21:01","01:18:21:02","","","","","","","0.000","","Red","headphone noise floor comparison visualz","",""
"4","","","","C","","01:19:36:01","01:19:36:02","01:19:36:01","01:19:36:02","","","","","","","0.000","","Blue","Let's talk about power delivery while using the Line Out","",""
"5","","","","C","","01:22:38:05","01:22:38:06","01:22:38:05","01:22:38:06","","","","","","","0.000","","Red","point in focus - video - rode wirelss go charging issue","",""
"6","","","","C","","01:25:05:00","01:25:05:01","01:25:05:00","01:25:05:01","","","","","","","0.000","","Blue","Outro","",""
